t,x,y,yaw,roll,pitch,state,target_id
1789539829.4635556,-2.9999999919690863,-1.0553377920987233e-13,-7.317036772033026e-18,5.554415768603528e-13,4.227902688743684e-08,,
1789539829.813543,-2.9999999913951734,-1.1307354804413131e-13,-7.709685825097602e-18,5.951244402805309e-13,4.529959189186643e-08,,
1789539830.1635125,-2.9999999907574924,-1.214511121069489e-13,-8.47410347750323e-18,6.392165452848831e-13,4.865577544330063e-08,,
1789539830.5135431,-2.999999990183579,-1.289908549078254e-13,-9.263925988001603e-18,6.788994678692625e-13,5.167634083019202e-08,,
1789539830.8637314,-2.999999989545898,-1.3736843440534972e-13,-9.724521127087504e-18,7.229916332104469e-13,5.503252480617242e-08,,
1789539831.2139735,-2.9999999889719846,-1.4490824982852147e-13,-1.0152614100866461e-17,7.626745010221478e-13,5.805309057463112e-08,,
1789539831.5637476,-2.9999999883980712,-1.5244789673250864e-13,-1.1111831507324951e-17,8.023572893140315e-13,6.107365652408736e-08,,
1789539831.9135706,-2.9999999877603902,-1.6082532623108538e-13,-1.2068932543116417e-17,8.464489726720468e-13,6.442984112451394e-08,,
1789539832.2634556,-2.999999987186477,-1.6836504776831133e-13,-1.2707088299679512e-17,8.861317530128564e-13,6.745040745662323e-08,,
1789539832.6138918,-2.9999999866125635,-1.7590483046541737e-13,-1.3417933141794313e-17,9.258145603517088e-13,7.047097396897171e-08,,
1789539832.9635544,-2.9999999859748825,-1.8428229940813214e-13,-1.3926048194860636e-17,9.699062256739572e-13,7.382715919544079e-08,,
1789539833.3137348,-2.999999985400969,-1.9182212420188754e-13,-1.4643399148875875e-17,1.0095892005385132e-12,7.684772609015689e-08,,
1789539833.6635225,-2.9999999848270558,-1.993618432988884e-13,-1.5252891661568584e-17,1.0492717210790034e-12,7.986829316628928e-08,,
1789539834.0135083,-2.9999999842531424,-2.0690150377572832e-13,-1.6015715273355246e-17,1.0889542528734374e-12,8.288886042337766e-08,,
1789539834.3637295,-2.999999983679229,-2.1444118928932805e-13,-1.706702971261074e-17,1.1286368177327174e-12,8.590942786098151e-08,,
1789539834.7137136,-2.9999999831053157,-2.2198103562415351e-13,-1.7605939775342677e-17,1.16831921505362e-12,8.892999548006088e-08,,
1789539835.063553,-2.9999999825314023,-2.295209340083984e-13,-1.7966728586552762e-17,1.2080021887880844e-12,9.195056328003763e-08,,
1789539835.4137666,-2.999999982021257,-2.362229862598892e-13,-1.8614840172048033e-17,1.2432758789904008e-12,9.463551258748453e-08,,
1789539835.7635212,-2.9999999814473437,-2.4376280145224836e-13,-1.9382045875852938e-17,1.2829585132746065e-12,9.7656080728968e-08,,
1789539836.1136966,-2.9999999808096622,-2.5214034911564e-13,-1.9930168364071423e-17,1.3270501642394198e-12,1.0101226776464222e-07,,
1789539836.46368,-2.999999980235749,-2.596800544294525e-13,-2.078808682505769e-17,1.3667325550288763e-12,1.0403283628734222e-07,,
1789539836.8136044,-2.9999999796618355,-2.672199139737015e-13,-2.1244272593329862e-17,1.406414878340885e-12,1.0705340499093206e-07,,
1789539837.163706,-2.999999979087922,-2.747596313234344e-13,-2.190274126761027e-17,1.4460973706775842e-12,1.1007397387496496e-07,,
1789539837.5133874,-2.999999978577777,-2.814616800776311e-13,-2.2065709454060743e-17,1.4813707107852853e-12,1.127589241466637e-07,,
1789539837.8634253,-2.999999977940095,-2.898391296122037e-13,-2.2752538247570775e-17,1.5254619245715196e-12,1.1611511218585214e-07,,
1789539838.2135215,-2.9999999773661816,-2.9737881866939767e-13,-2.3331948003226425e-17,1.5651440945079146e-12,1.191356816121369e-07,,
1789539838.5635636,-2.999999976792268,-3.049186194460315e-13,-2.3818747647620594e-17,1.6048264022901851e-12,1.2215625121865116e-07,,
1789539838.913485,-2.9999999762183545,-3.1245834098341893e-13,-2.422248421268443e-17,1.6445086597367875e-12,1.2517682100617222e-07,,
1789539839.2635481,-2.999999975644441,-3.1999804931651494e-13,-2.4948446327728717e-17,1.6841908159676423e-12,1.2819739097398982e-07,,
